------------------------------------------------------------------------------------
Date: 3/20/2025 -- 18:16:02 (uptime: 0d, 00h 00m 17s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 180
capture.afpacket.polls                        | Total                     | 614
capture.afpacket.poll_timeout                 | Total                     | 440
capture.afpacket.poll_data                    | Total                     | 174
decoder.pkts                                  | Total                     | 185
decoder.bytes                                 | Total                     | 18824
decoder.ipv4                                  | Total                     | 176
decoder.ethernet                              | Total                     | 185
decoder.unknown_ethertype                     | Total                     | 9
decoder.tcp                                   | Total                     | 172
decoder.udp                                   | Total                     | 3
decoder.avg_pkt_size                          | Total                     | 101
decoder.max_pkt_size                          | Total                     | 326
flow.total                                    | Total                     | 4
flow.active                                   | Total                     | 4
flow.tcp                                      | Total                     | 1
flow.udp                                      | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 3
decoder.event.ipv4.opt_pad_required           | Total                     | 1
app_layer.flow.failed_udp                     | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9700
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4980736
tcp.reassembly_memuse                         | Total                     | 917504
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 3/20/2025 -- 18:16:10 (uptime: 0d, 00h 00m 25s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 817
capture.afpacket.polls                        | Total                     | 1833
capture.afpacket.poll_timeout                 | Total                     | 1084
capture.afpacket.poll_data                    | Total                     | 749
decoder.pkts                                  | Total                     | 817
decoder.bytes                                 | Total                     | 85114
decoder.ipv4                                  | Total                     | 795
decoder.ethernet                              | Total                     | 817
decoder.unknown_ethertype                     | Total                     | 22
decoder.tcp                                   | Total                     | 783
decoder.udp                                   | Total                     | 10
decoder.avg_pkt_size                          | Total                     | 104
decoder.max_pkt_size                          | Total                     | 1326
flow.total                                    | Total                     | 5
flow.active                                   | Total                     | 5
flow.tcp                                      | Total                     | 1
flow.udp                                      | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
